City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
285,Zeerust,ZA,-25.54,26.08,41.0,75,0,3.36,clear sky
286,Rabkavi,IN,16.47,75.1,78.78,74,100,15.52,overcast clouds
287,Tancheng,CN,27.44,115.5,92.86,60,6,1.7,light rain
288,Sur,OM,22.57,59.53,84.09,67,65,12.66,broken clouds
289,Koubia,GN,11.58,-11.9,66.76,96,96,3.02,overcast clouds
290,Severo-Kurilsk,RU,50.68,156.12,56.73,62,27,11.68,scattered clouds
291,Puri,IN,19.8,85.85,84.2,94,75,6.93,haze
292,Khonsa,IN,27.02,95.57,76.78,92,70,2.15,moderate rain
293,Goderich,CA,43.75,-81.72,75.99,65,98,8.75,overcast clouds
294,Neiafu,TO,-18.65,-173.98,80.6,78,40,13.87,scattered clouds
295,Palana,RU,59.12,159.97,47.41,72,94,8.16,overcast clouds
296,San Carlos De Bariloche,AR,-41.15,-71.31,33.8,64,9,3.36,clear sky
297,Vavuniya,LK,8.75,80.5,89.28,51,56,7.83,broken clouds
298,Port Arthur,CN,38.8,121.27,78.8,74,40,8.95,scattered clouds
299,Thongwa,MM,16.76,96.53,80.6,83,90,11.41,overcast clouds
300,Tasiilaq,GL,65.61,-37.64,39.2,80,0,3.36,clear sky
301,Lima,PE,-12.04,-77.03,60.8,82,90,9.17,overcast clouds
302,Ketchikan,US,55.34,-131.65,55.4,100,90,11.41,moderate rain
303,Qasigiannguit,GL,68.82,-51.19,39.2,80,0,1.7,clear sky
304,The Valley,AI,18.22,-63.06,82.4,83,20,16.11,few clouds
305,Emerald,AU,-23.53,148.17,72.0,18,0,4.7,clear sky
306,Bandarbeyla,SO,9.49,50.81,78.69,61,71,32.35,broken clouds
307,Silale,LT,55.49,22.18,60.64,95,75,4.47,broken clouds
308,Saint-Francois,FR,46.42,3.91,60.8,77,34,4.7,scattered clouds
309,Rio Gallegos,AR,-51.62,-69.22,35.6,69,64,11.41,broken clouds
310,Katherine,AU,-14.47,132.27,91.4,17,0,12.75,clear sky
311,Vanimo,PG,-2.67,141.3,87.13,58,19,6.02,few clouds
312,Katsuura,JP,35.13,140.3,81.0,83,75,5.82,broken clouds
313,Egvekinot,RU,66.32,-179.17,47.86,96,100,7.02,light rain
314,Comodoro Rivadavia,AR,-45.87,-67.5,53.6,62,99,13.2,overcast clouds
315,Leningradskiy,RU,69.38,178.42,51.44,70,50,6.8,scattered clouds
316,Lebu,CL,-37.62,-73.65,49.1,90,2,6.11,clear sky
317,Itigi,TZ,-5.7,34.48,58.78,75,91,10.8,overcast clouds
318,Igrim,RU,63.19,64.42,56.62,72,49,9.51,scattered clouds
319,Nantucket,US,41.28,-70.1,70.0,94,1,11.41,clear sky
320,Simao,CN,22.79,100.97,68.05,91,100,1.52,moderate rain
321,Sinjai,ID,-5.12,120.25,83.59,60,41,8.61,scattered clouds
322,Guerrero Negro,MX,27.98,-114.06,75.38,76,28,12.62,scattered clouds
323,Zemio,CF,5.03,25.14,68.56,97,100,2.64,light rain
324,Svetlaya,RU,46.54,138.33,71.31,61,22,8.66,few clouds
325,Asau,RO,46.43,26.4,61.0,88,0,1.97,clear sky
326,El Colomo,MX,19.05,-104.25,80.74,83,50,1.61,scattered clouds
327,Macapa,BR,0.04,-51.07,80.6,94,75,10.29,thunderstorm
328,Phangnga,TH,8.45,98.53,89.6,62,20,8.05,few clouds
329,Coahuayana,MX,18.73,-103.68,79.63,86,39,0.38,light rain
330,Bethel,US,41.37,-73.41,71.01,83,1,3.36,clear sky
331,Fortuna,US,40.6,-124.16,59.0,100,75,5.82,broken clouds
332,Turukhansk,RU,65.82,87.98,58.14,88,100,6.71,overcast clouds
333,Iskateley,RU,67.68,53.15,55.38,76,100,6.87,overcast clouds
334,Kawalu,ID,-7.38,108.21,85.66,55,31,5.55,scattered clouds
335,Dickinson,US,29.46,-95.05,75.2,88,1,3.71,clear sky
336,Saskylakh,RU,71.92,114.08,53.08,45,0,8.12,clear sky
337,Yerofey Pavlovich,RU,53.97,121.97,69.13,37,99,8.55,overcast clouds
338,Varhaug,NO,58.61,5.65,55.0,99,75,1.99,light rain
339,Anadyr,RU,64.75,177.48,53.6,81,40,20.13,scattered clouds
340,Toccoa,US,34.58,-83.33,71.01,94,75,1.25,broken clouds
341,Mangan,IN,27.52,88.53,85.62,45,5,4.85,clear sky
342,Sao Joao Da Barra,BR,-21.64,-41.05,63.99,77,55,11.9,broken clouds
343,Staraya Poltavka,RU,50.48,46.48,61.48,61,20,8.46,few clouds
344,San Jose,US,37.34,-121.89,75.99,53,75,6.93,smoke
345,Khandyga,RU,62.67,135.6,59.05,35,0,6.49,clear sky
346,Byron Bay,AU,-28.65,153.62,68.0,24,0,24.16,clear sky
347,Ponta Do Sol,PT,32.67,-17.1,73.4,69,20,16.11,few clouds
348,Trat,TH,12.5,102.5,86.0,79,40,9.17,scattered clouds
349,Tsiroanomandidy,MG,-18.77,46.03,58.08,58,0,5.06,clear sky
350,Luganville,VU,-15.53,167.17,82.4,74,75,3.36,broken clouds
351,Nikolskoye,RU,59.7,30.79,59.0,93,90,8.95,light intensity shower rain
352,Meulaboh,ID,4.14,96.13,83.64,64,56,3.38,broken clouds
353,Billings,US,45.78,-108.5,81.0,27,1,11.41,haze
354,Carnarvon,AU,-24.87,113.63,75.2,44,96,18.34,overcast clouds
355,Vestmanna,FO,62.16,-7.17,44.6,75,84,14.99,broken clouds
356,Payo,ID,-3.75,103.64,91.49,42,59,5.3,broken clouds
357,Piacabucu,BR,-10.41,-36.43,73.22,86,46,7.16,light rain
358,Kisesa,TZ,-3.08,34.15,58.53,75,93,8.55,overcast clouds
359,Cairns,AU,-16.92,145.77,82.0,34,86,13.87,overcast clouds
360,North Myrtle Beach,US,33.82,-78.68,81.0,78,1,5.39,clear sky
361,Vanavara,RU,60.34,102.28,71.8,47,100,8.81,overcast clouds
362,Puqi,CN,29.72,113.88,92.34,56,1,3.71,clear sky
