City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
573,Araguacu,BR,75.79,scattered clouds,-12.93,-49.83,Brunas Park Hotel
578,Kushima,JP,86.0,broken clouds,31.46,131.23,Hanaoka
579,Marsa Matruh,EG,77.0,clear sky,31.35,27.25,Beau Site
580,Las Cruces,US,89.01,scattered clouds,32.31,-106.78,SpringHill Suites by Marriott Las Cruces
581,Pinar Del Rio,CU,77.41,overcast clouds,22.42,-83.7,Hostal La Colina Dunay y Raul
582,Manggar,ID,84.81,broken clouds,-2.88,108.27,Guest Hotel
583,Gizo,SB,83.79,moderate rain,-8.1,156.84,Imagination Island
584,Carutapera,BR,75.94,clear sky,-1.2,-46.02,Lidera
585,Cockburn Town,TC,84.09,light rain,21.46,-71.14,Osprey Beach Hotel
586,Itaueira,BR,80.4,broken clouds,-7.6,-43.03,Hotel Pousada Luz
588,Eravur,LK,87.15,broken clouds,7.77,81.61,Farhan KING House
593,Ajmer,IN,81.59,few clouds,26.45,74.63,OYO 862 Hotel Embassy
595,Teacapan,MX,81.91,broken clouds,22.55,-105.75,Villas y Hotel Maria Fernanda
598,Bambanglipuro,ID,85.08,scattered clouds,-7.95,110.28,Puri Brata
601,Pangai,TO,82.4,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
605,Totness,SR,79.86,scattered clouds,5.88,-56.32,STAATS LOGEERGEBOUW TOTNESS
606,Nhulunbuy,AU,84.2,scattered clouds,-12.23,136.77,East Arnhem Real Estate
610,Atlantic City,US,75.0,clear sky,39.36,-74.42,Resorts Casino Hotel
611,Hilton Head Island,US,82.99,overcast clouds,32.22,-80.75,Hampton Inn Hilton Head
613,Kismayo,SO,76.75,broken clouds,-0.36,42.55,Agan-Hotel
616,Matara,LK,84.51,scattered clouds,5.95,80.54,Amaloh Boutique Resort
623,Songkhla,TH,87.8,few clouds,6.83,100.67,น.ส ซัลมา สาแม็ง
626,Katobu,ID,88.23,scattered clouds,-4.94,122.53,La Ode Husein
629,Jacmel,HT,86.0,scattered clouds,18.23,-72.53,Hotel Florita
634,Manati,PR,78.01,overcast clouds,18.43,-66.49,Manati World Point Inn
637,Morgan City,US,78.8,clear sky,29.7,-91.21,Hampton Inn & Suites Morgan City
